input,instruction,output
hûut kích pa'ishkêesh?,translate from karuk to english,How was the river?
How was the river?,translate from english to karuk,hûut kích pa'ishkêesh?
yav.,translate from karuk to english,Good.
Good.,translate from english to karuk,yav.
vúra yâamach.,translate from karuk to english,It looks nice.
It looks nice.,translate from english to karuk,vúra yâamach.
páy kich.,translate from karuk to english,Again.
Again.,translate from english to karuk,páy kich.
pa'ishkêesh yáv umúsahitih.,translate from karuk to english,The river looks good.
The river looks good.,translate from english to karuk,pa'ishkêesh yáv umúsahitih.
fâat ikyâatih?,translate from karuk to english,What are you doing?
What are you doing?,translate from english to karuk,fâat ikyâatih?
purafâat neekyâatihara.,translate from karuk to english,[I'm doing] nothing.
[I'm doing] nothing.,translate from english to karuk,purafâat neekyâatihara.
vúra purafâat neekyâatihara.,translate from karuk to english,[I'm doing] nothing at all.
[I'm doing] nothing at all.,translate from english to karuk,vúra purafâat neekyâatihara.
akâay uum mi'áraar?,translate from karuk to english,Who are your relations?
Who are your relations?,translate from english to karuk,akâay uum mi'áraar?
vaa káan nivâarameesh.,translate from karuk to english,I'm going there.
I'm going there.,translate from english to karuk,vaa káan nivâarameesh.
panámniik tá nivâaram.,translate from karuk to english,I'm going to Orleans.
I'm going to Orleans.,translate from english to karuk,panámniik tá nivâaram.
súva nik!,translate from karuk to english,See you later!
See you later!,translate from english to karuk,súva nik!
i'aapúnmuti hum?,translate from karuk to english,Do you understand?
Do you understand?,translate from english to karuk,i'aapúnmuti hum?
koovúra úm ithítiimtih?,translate from karuk to english,Do you hear everything?
Do you hear everything?,translate from english to karuk,koovúra úm ithítiimtih?
purafâat vúra ná'aapunmutihara.,translate from karuk to english,I don't know anything.
I don't know anything.,translate from english to karuk,purafâat vúra ná'aapunmutihara.
vúra uum puná'aapunmutihara.,translate from karuk to english,I don't know (anything).
I don't know (anything).,translate from english to karuk,vúra uum puná'aapunmutihara.
fâat uum vaa?,translate from karuk to english,What is this?
What is this?,translate from english to karuk,fâat uum vaa?
fâat ixútih?,translate from karuk to english,What are you thinking?
What are you thinking?,translate from english to karuk,fâat ixútih?
fâat ichuuphítih?,translate from karuk to english,What did you say?
What did you say?,translate from english to karuk,fâat ichuuphítih?
hûut ipítih?,translate from karuk to english,What did you say?
What did you say?,translate from english to karuk,hûut ipítih?
ipikrôokti hum?,translate from karuk to english,Did you remember?
Did you remember?,translate from english to karuk,ipikrôokti hum?
ipikrôokti húm fâat peepítih?,translate from karuk to english,Did you learn (remember) what you said?
Did you learn (remember) what you said?,translate from english to karuk,ipikrôokti húm fâat peepítih?
teepshinvárihva hum?,translate from karuk to english,Did you forget?
Did you forget?,translate from english to karuk,teepshinvárihva hum?
pi'êep vaa káan ta neepshinvárihva.,translate from karuk to english,A long time ago I forgot.
A long time ago I forgot.,translate from english to karuk,pi'êep vaa káan ta neepshinvárihva.
hãã.,translate from karuk to english,Yes.
Yes.,translate from english to karuk,hãã.
"atafâat ixúti "" kíri ni'am.""",translate from karuk to english,Maybe you think you want to eat something.
Maybe you think you want to eat something.,translate from english to karuk,"atafâat ixúti "" kíri ni'am."""
navíshtaanti áayas.,translate from karuk to english,I like grapes.
I like grapes.,translate from english to karuk,navíshtaanti áayas.
"""íshaha"" húm xâatik "" kíri ni'ish""?",translate from karuk to english,Did you want to drink water?
Did you want to drink water?,translate from english to karuk,"""íshaha"" húm xâatik "" kíri ni'ish""?"
"""íshaha"" xaat íim "" kíri ni'ish""?",translate from karuk to english,Do you want water?
Do you want water?,translate from english to karuk,"""íshaha"" xaat íim "" kíri ni'ish""?"
íshaha húm tée xrah?,translate from karuk to english,Are you thirsty?
Are you thirsty?,translate from english to karuk,íshaha húm tée xrah?
"xaat úm kíri íshaha natêeki!""?",translate from karuk to english,Do you want to drink water?
Do you want to drink water?,translate from english to karuk,"xaat úm kíri íshaha natêeki!""?"
kúkuum húm nutêekeesh?,translate from karuk to english,Do you want some more water?
Do you want some more water?,translate from english to karuk,kúkuum húm nutêekeesh?
chími ôok pay ikrîishrihi!,translate from karuk to english,Sit down right here!
Sit down right here!,translate from english to karuk,chími ôok pay ikrîishrihi!
"áhup ik chími ápim, sáanfuruki!",translate from karuk to english,"Look for wood, bring it in!"
"Look for wood, bring it in!",translate from english to karuk,"áhup ik chími ápim, sáanfuruki!"
áhup usáanfuruki!,translate from karuk to english,Bring wood in!
Bring wood in!,translate from english to karuk,áhup usáanfuruki!
pûuhara.,translate from karuk to english,No.
No.,translate from english to karuk,pûuhara.
xáyfaat!,translate from karuk to english,Don't!
Don't!,translate from english to karuk,xáyfaat!
xákaan chôora!,translate from karuk to english,Let's go together!
Let's go together!,translate from english to karuk,xákaan chôora!
naa káru nivâarameesh.,translate from karuk to english,I'm coming.
I'm coming.,translate from english to karuk,naa káru nivâarameesh.
naa káru ni'áhoovish.,translate from karuk to english,I'm going to walk.
I'm going to walk.,translate from english to karuk,naa káru ni'áhoovish.
ta ni'áhoo.,translate from karuk to english,I'm walking.
I'm walking.,translate from english to karuk,ta ni'áhoo.
chími ikfúuksipriv!,translate from karuk to english,It's time to get up!
It's time to get up!,translate from english to karuk,chími ikfúuksipriv!
tikáriha hum?,translate from karuk to english,Are you ready?
Are you ready?,translate from english to karuk,tikáriha hum?
ta néekfuuyshur.,translate from karuk to english,I'm tired.
I'm tired.,translate from english to karuk,ta néekfuuyshur.
tée kfúuyshur hum?,translate from karuk to english,Are you tired?
Are you tired?,translate from english to karuk,tée kfúuyshur hum?
chími núkviit-hi!,translate from karuk to english,Let's go to sleep!
Let's go to sleep!,translate from english to karuk,chími núkviit-hi!
fâat yáxa?,translate from karuk to english,[What's that?]
[What's that?],translate from english to karuk,fâat yáxa?
chími kviit-hi!,translate from karuk to english,Go to sleep!
Go to sleep!,translate from english to karuk,chími kviit-hi!
yáv pa'ikxáram.,translate from karuk to english,Good night.
Good night.,translate from english to karuk,yáv pa'ikxáram.
ni'áapunma koovúra.,translate from karuk to english,But I learned.
But I learned.,translate from english to karuk,ni'áapunma koovúra.
"fâat kumá'ii pananítaat káru panani'áka tá kuniyâaram, fâat kumá'ii?",translate from karuk to english,Why did they take my father and mother away?
Why did they take my father and mother away?,translate from english to karuk,"fâat kumá'ii pananítaat káru panani'áka tá kuniyâaram, fâat kumá'ii?"
"páy kóo paxánthiip, páy yítha kóo paxánthiip káan u'íihya."" fâat kumá'ii peexráratih? naa ník ôok páy níkrii.""",translate from karuk to english,"There's an oak tree, there's an oak tree standing there. ""What are you crying for? I'm here with you."""
"There's an oak tree, there's an oak tree standing there. ""What are you crying for? I'm here with you.""",translate from english to karuk,"páy kóo paxánthiip, páy yítha kóo paxánthiip káan u'íihya."" fâat kumá'ii peexráratih? naa ník ôok páy níkrii."""
tupishyáavpa tá kóo tá kun'ípak.,translate from karuk to english,In wintertime they all came back.
In wintertime they all came back.,translate from english to karuk,tupishyáavpa tá kóo tá kun'ípak.
nanikîit neekshúpiheet.,translate from karuk to english,My grandmother taught me.
My grandmother taught me.,translate from english to karuk,nanikîit neekshúpiheet.
koovúra ni'áapunma fâat nikyâatih.tupishyáavpa vúra uum táay panani'áhup.koovúra yáv.,translate from karuk to english,"I learned everything, I can make anything. In wintertime I had a lot of wood. Everything was good."
"I learned everything, I can make anything. In wintertime I had a lot of wood. Everything was good.",translate from english to karuk,koovúra ni'áapunma fâat nikyâatih.tupishyáavpa vúra uum táay panani'áhup.koovúra yáv.
"uknîi kaan kun'áraarahiti itráhyar mu'túnviiv avansamúrax.mah'íitnihach tá kun'ivyíihrupuk, tá kun'ákunvanva.ikxúrar tá kunpavyíhuk koovúra ichámahich pamukunpúufich.",translate from karuk to english,Uknii. They lived there. His ten children were just boys. Early in the morning they go out hunting. In the evening they all return one by one with their deer.
Uknii. They lived there. His ten children were just boys. Early in the morning they go out hunting. In the evening they all return one by one with their deer.,translate from english to karuk,"uknîi kaan kun'áraarahiti itráhyar mu'túnviiv avansamúrax.mah'íitnihach tá kun'ivyíihrupuk, tá kun'ákunvanva.ikxúrar tá kunpavyíhuk koovúra ichámahich pamukunpúufich."
"xas muyiimúsich káru ník u'áraarahiti, áxak yeeripáxvuhsa kaan kun'iin.",translate from karuk to english,And (others) lived close by. Two girls lived there.
And (others) lived close by. Two girls lived there.,translate from english to karuk,"xas muyiimúsich káru ník u'áraarahiti, áxak yeeripáxvuhsa kaan kun'iin."
"xas pa'ávansa mukun'ikrívraam váshihkam usúruruprinahiti vaa kaan kunthanfúrukvuti papúufich.úum papihnîichich vúra kich itíhaan iinâak úkrii, áah ukyâatih.káru umnîishti pakun'áveesh pakunpavyíihukahaak.",translate from karuk to english,"Now there was a hole in the back of the boys' house, they dragged the deer in there. Their old man always sat inside, tending the fire. Also he was doing the cooking so they should find their meal ready when they came home."
"Now there was a hole in the back of the boys' house, they dragged the deer in there. Their old man always sat inside, tending the fire. Also he was doing the cooking so they should find their meal ready when they came home.",translate from english to karuk,"xas pa'ávansa mukun'ikrívraam váshihkam usúruruprinahiti vaa kaan kunthanfúrukvuti papúufich.úum papihnîichich vúra kich itíhaan iinâak úkrii, áah ukyâatih.káru umnîishti pakun'áveesh pakunpavyíihukahaak."
"kári xas payeeripáxvuhsa kin'ipêer.""chi váa kúuk kiik'uumi, kíri váa káan ku'iin, kíri vaa mikun'ávan íf pufich'iykáraansas.""xas kun'iyâaram, kaan kun'uum.",translate from karuk to english,"Well, then, people told the girls, ""Go over there to live! That's where we want you to live! You had better marry those boys, they are such good hunters!"" So they went and they got there."
"Well, then, people told the girls, ""Go over there to live! That's where we want you to live! You had better marry those boys, they are such good hunters!"" So they went and they got there.",translate from english to karuk,"kári xas payeeripáxvuhsa kin'ipêer.""chi váa kúuk kiik'uumi, kíri váa káan ku'iin, kíri vaa mikun'ávan íf pufich'iykáraansas.""xas kun'iyâaram, kaan kun'uum."
papihnîich pácheech úkrii.xas tá ikxúrar axmay mâaka úxak.káruma tá íp kunpikyaarat paxuun.itráhyar pa'asípiitsa káru vaa kóohoo imvarámpiitsa káru itráhyar síkih.koovúra paxuun ávahkam pa'imváram mûuk tá kunpithxupva.,translate from karuk to english,"The old man was sitting alone. And when evening came suddenly there was a noise at the back of the house. Already they had cooked the acorn mush. There were ten new bowls, and also ten new plates, and also ten spoons. And each bowl was covered with its plate."
"The old man was sitting alone. And when evening came suddenly there was a noise at the back of the house. Already they had cooked the acorn mush. There were ten new bowls, and also ten new plates, and also ten spoons. And each bowl was covered with its plate.",translate from english to karuk,papihnîich pácheech úkrii.xas tá ikxúrar axmay mâaka úxak.káruma tá íp kunpikyaarat paxuun.itráhyar pa'asípiitsa káru vaa kóohoo imvarámpiitsa káru itráhyar síkih.koovúra paxuun ávahkam pa'imváram mûuk tá kunpithxupva.
"xas papúufich tá kunthathyúrufurukva ma' kûukam.xas upíip, "" chími kiik'íchunvi, sípnuukan kiik'iruváramnihi.""xas yítha upíip, ""fâat kumá'ii panu'íchunveesh?""xas yítha upíip, ""xâatik nu'íchunva.""",translate from karuk to english,"Then they dragged in the deer through the hole in the wall at the back of the house. But (the old man) had said, ""You had better hide! Get into the storage basket, quick!"" And one of the girls asked, ""What for do we have to hide?"" But the other said, ""Yes, we had better hide!"""
"Then they dragged in the deer through the hole in the wall at the back of the house. But (the old man) had said, ""You had better hide! Get into the storage basket, quick!"" And one of the girls asked, ""What for do we have to hide?"" But the other said, ""Yes, we had better hide!""",translate from english to karuk,"xas papúufich tá kunthathyúrufurukva ma' kûukam.xas upíip, "" chími kiik'íchunvi, sípnuukan kiik'iruváramnihi.""xas yítha upíip, ""fâat kumá'ii panu'íchunveesh?""xas yítha upíip, ""xâatik nu'íchunva."""
"xas kunpavyíihfuruk, xas kun'ipêer, ""chu pihnîich pay miváfish.""xas upíip, ""pûuhara, ávansa kípa ûum vúup ucháfichtih.""xas upakúriihva ""súnunuk á-ni-nak ki-yánee náa puváfish navishtantihara,vúup kich kípa nicháfichtih.""",translate from karuk to english,"And then (the ten young men) came in, and they said, ""Here, old man, here is your liver!"" But he answered, ""No indeed! Men always chew the neck!"" And he started singing, ""In secret...Tra-la-la...I don't like liver. The neck is what I want to chew!"""
"And then (the ten young men) came in, and they said, ""Here, old man, here is your liver!"" But he answered, ""No indeed! Men always chew the neck!"" And he started singing, ""In secret...Tra-la-la...I don't like liver. The neck is what I want to chew!""",translate from english to karuk,"xas kunpavyíihfuruk, xas kun'ipêer, ""chu pihnîich pay miváfish.""xas upíip, ""pûuhara, ávansa kípa ûum vúup ucháfichtih.""xas upakúriihva ""súnunuk á-ni-nak ki-yánee náa puváfish navishtantihara,vúup kich kípa nicháfichtih."""
"xas upíip, ""pihnîich tharampukayaa'íshara ikyâaheen.""xas upíip, ""páy xas íp napakyâat.""xas yítha pamuxuunak ífuni umah.xas upíip, ""pihnîich ifunihaxarah'íshara pami'ífunih.""xas upíip, ""vup'áfiv tákurukrivan hitíhaan íp napáknitsurunat.""káruma vúra nik pufuhíishtihap.xas pakunpámvaar kun'ivyíihrupuk.ikmaháchrahaam kúuk kunpavyíihma.xas kun'ikviit-hinaaha.",translate from karuk to english,"(One of the boys) said, ""Old man, that's awfully good mush you fixed today!"" And he answered, ""Oh! I just had luck with it, that's all!"" Then one of the boys found a hair in his mush. And he said, ""Old man! What long hair you have!"" And the old man answered, ""I pulled if off out of the back of my neck where the hair is so curly, you know."" But they didn't believe a word of it. And when they got through eating they went out. They went out to the sweathouse. Then they went to sleep."
"(One of the boys) said, ""Old man, that's awfully good mush you fixed today!"" And he answered, ""Oh! I just had luck with it, that's all!"" Then one of the boys found a hair in his mush. And he said, ""Old man! What long hair you have!"" And the old man answered, ""I pulled if off out of the back of my neck where the hair is so curly, you know."" But they didn't believe a word of it. And when they got through eating they went out. They went out to the sweathouse. Then they went to sleep.",translate from english to karuk,"xas upíip, ""pihnîich tharampukayaa'íshara ikyâaheen.""xas upíip, ""páy xas íp napakyâat.""xas yítha pamuxuunak ífuni umah.xas upíip, ""pihnîich ifunihaxarah'íshara pami'ífunih.""xas upíip, ""vup'áfiv tákurukrivan hitíhaan íp napáknitsurunat.""káruma vúra nik pufuhíishtihap.xas pakunpámvaar kun'ivyíihrupuk.ikmaháchrahaam kúuk kunpavyíihma.xas kun'ikviit-hinaaha."
"xas papihníich upíip, ""chími kiikpiruvôonishuki.""xas kunpiruvôonishuk.xas yítha upíip, ""hûut kumá'ii patá kin'íchunva?xáyfaat ik kúkuum nu'íchunva.""aayâach papihníich tóo píip, ""kúkuum mah'íitnihach ku'íchunveesh pachími kunpávyiihfurukheeshhaak.""xas mah'íitnihach kun'iruvôonsip, xas kun'ímnish xuun.tá kuntharámpuk.",translate from karuk to english,"Then the old man said to the girls, ""Come out now!"" And they came out. Then one of them said, ""What for did you hide us? We won't hide again!"" Because the old man had said, ""You must hide again tomorrow morning before they come into the house."" Early the next morning, they got up and cooked the acorn mush. They cooked the acorn mush."
"Then the old man said to the girls, ""Come out now!"" And they came out. Then one of them said, ""What for did you hide us? We won't hide again!"" Because the old man had said, ""You must hide again tomorrow morning before they come into the house."" Early the next morning, they got up and cooked the acorn mush. They cooked the acorn mush.",translate from english to karuk,"xas papihníich upíip, ""chími kiikpiruvôonishuki.""xas kunpiruvôonishuk.xas yítha upíip, ""hûut kumá'ii patá kin'íchunva?xáyfaat ik kúkuum nu'íchunva.""aayâach papihníich tóo píip, ""kúkuum mah'íitnihach ku'íchunveesh pachími kunpávyiihfurukheeshhaak.""xas mah'íitnihach kun'iruvôonsip, xas kun'ímnish xuun.tá kuntharámpuk."
"xas kunpávyiihfuruk koovúra tá kári pakun'áveesh.xas kun'ipêer, ""papihníich íp nik nuxusat tharampukayaa'íshara.""púxay vúra chuuphítihara.xas pakunpámvaar kun'ákunvanva.xas pa'asiktávaansa káru áhup tá kuntúrar.kusripán'ahup kuntúrish.kári xás kúkuum tá ikxúrar kun'imníshaheen.",translate from karuk to english,"Then all (the boys) came into the house all ready to eat. Then one of them said, ""Old man, we have been thinking about what a good cook you are!"" But he never answered anything. And when they got through eating they went out to hunt. Then the women went out to fetch firewood. They brought in madrone wood. And then again in the afternoon they cooked."
"Then all (the boys) came into the house all ready to eat. Then one of them said, ""Old man, we have been thinking about what a good cook you are!"" But he never answered anything. And when they got through eating they went out to hunt. Then the women went out to fetch firewood. They brought in madrone wood. And then again in the afternoon they cooked.",translate from english to karuk,"xas kunpávyiihfuruk koovúra tá kári pakun'áveesh.xas kun'ipêer, ""papihníich íp nik nuxusat tharampukayaa'íshara.""púxay vúra chuuphítihara.xas pakunpámvaar kun'ákunvanva.xas pa'asiktávaansa káru áhup tá kuntúrar.kusripán'ahup kuntúrish.kári xás kúkuum tá ikxúrar kun'imníshaheen."
"káru kuntharámpuk.axmay ma'kúkam úxak.xas vaa káan kunthathyúrufurukva pamukunpúufich itráhyar, xas kun'av.kunpámvaar, kun'ivyíihrupuk, ikmaháchraam tá kun'ásivanva.kúkuum mah'íitnihach tá kun'ákunvanva patá kunpámvaar.",translate from karuk to english,"They cooked. Suddenly there was a noise at the back of the house. They dragged in their deer into the house and then the ten young men ate. When they got through eating, they went outdoors, they went to their sweathouse to sleep. And again in the early morning they went forth to hunt when they got through eating."
"They cooked. Suddenly there was a noise at the back of the house. They dragged in their deer into the house and then the ten young men ate. When they got through eating, they went outdoors, they went to their sweathouse to sleep. And again in the early morning they went forth to hunt when they got through eating.",translate from english to karuk,"káru kuntharámpuk.axmay ma'kúkam úxak.xas vaa káan kunthathyúrufurukva pamukunpúufich itráhyar, xas kun'av.kunpámvaar, kun'ivyíihrupuk, ikmaháchraam tá kun'ásivanva.kúkuum mah'íitnihach tá kun'ákunvanva patá kunpámvaar."
"xas yítha upíip, ""náama tá niyêeripha chími piyâarami.""xas yítha upíip, ""pûuhara, yaayâach papihníich núpeen tá nupiyâaram.""xas kun'ipêer, ""tá nupiyâaram.""xas upíip, ""xáyfaat, ôok vúra kíik'iini.""xas kunpíip, ""chémi.""",translate from karuk to english,"Then one day, one of the girls said, ""Listen, I am going through puberty, let's go home!"" But the other said, ""No, it is better to tell the old man before we go."" So they went and said to him, ""We are going home."" But he said, ""Don't do that! Stay right here!"" So they said, ""All right!"""
"Then one day, one of the girls said, ""Listen, I am going through puberty, let's go home!"" But the other said, ""No, it is better to tell the old man before we go."" So they went and said to him, ""We are going home."" But he said, ""Don't do that! Stay right here!"" So they said, ""All right!""",translate from english to karuk,"xas yítha upíip, ""náama tá niyêeripha chími piyâarami.""xas yítha upíip, ""pûuhara, yaayâach papihníich núpeen tá nupiyâaram.""xas kun'ipêer, ""tá nupiyâaram.""xas upíip, ""xáyfaat, ôok vúra kíik'iini.""xas kunpíip, ""chémi."""
"xas ikxúrar kunpavyíhuk pa'avansa.xas papihnîich upíip, ""chími nu'íhukvunaa.káruma tuyêeripha payêeripaxvuh.""xas kunpíip, ""hôoy if.""xas upíip, ""vúra nu'íhukvunaavish.""xas kunpíip, ""nuu nusêeyti pávaa kookapákurih.""xas upíip, ""minik naa ni'ítaptih.""xas kunpíip, ""chími man.""",translate from karuk to english,"Then in the evening the boys came home. Then the old man said, ""Let's have a puberty dance! Now that girl is going through puberty."" And they said, ""Nonsense!"" Then he said, ""Indeed! We will have to dance!"" Then they said, ""We don't know that kind of song!"" And he said, ""I know it!"" Then they said, ""All right!"""
"Then in the evening the boys came home. Then the old man said, ""Let's have a puberty dance! Now that girl is going through puberty."" And they said, ""Nonsense!"" Then he said, ""Indeed! We will have to dance!"" Then they said, ""We don't know that kind of song!"" And he said, ""I know it!"" Then they said, ""All right!""",translate from english to karuk,"xas ikxúrar kunpavyíhuk pa'avansa.xas papihnîich upíip, ""chími nu'íhukvunaa.káruma tuyêeripha payêeripaxvuh.""xas kunpíip, ""hôoy if.""xas upíip, ""vúra nu'íhukvunaavish.""xas kunpíip, ""nuu nusêeyti pávaa kookapákurih.""xas upíip, ""minik naa ni'ítaptih.""xas kunpíip, ""chími man."""
"xas îikam kích vúra pakuntátuyshur.xas áhkaam kun'íkyav.xas kun'íkyâasip pa'íhukvunaa.xas papihnîich upíip, ""naa ník panipakurîihveesh.""xas upákurih ""yíiv vúra nuthyuruveesh.""",translate from karuk to english,"Then they swept the outside platform nicely. And they built a big fire. Then they started to dance. Then the old man said, ""I will sing the song."" And he sang, ""We will drag her a long ways."""
"Then they swept the outside platform nicely. And they built a big fire. Then they started to dance. Then the old man said, ""I will sing the song."" And he sang, ""We will drag her a long ways.""",translate from english to karuk,"xas îikam kích vúra pakuntátuyshur.xas áhkaam kun'íkyav.xas kun'íkyâasip pa'íhukvunaa.xas papihnîich upíip, ""naa ník panipakurîihveesh.""xas upákurih ""yíiv vúra nuthyuruveesh."""
chavúra páy nanu'ávahkam kun'ithyúruva.xas páy nanu'ávahkam áachipak tá kun'ithyuruva.,translate from karuk to english,"Indeed they dragged her up into the sky. And right up into the middle of the sky they dragged him along, too."
"Indeed they dragged her up into the sky. And right up into the middle of the sky they dragged him along, too.",translate from english to karuk,chavúra páy nanu'ávahkam kun'ithyúruva.xas páy nanu'ávahkam áachipak tá kun'ithyuruva.
"ník upíti papihnîich,tá nimyáhumar, chími âapun.""",translate from karuk to english,"And the old man was saying, ""I am tired, let me down!"""
"And the old man was saying, ""I am tired, let me down!""",translate from english to karuk,"ník upíti papihnîich,tá nimyáhumar, chími âapun."""
"púxay fuhíshtihap.aayâach kun'ixviphûunishti íp pa'úthvoonhitihat va'íhuk, tá kun'ithyúruvarak, pamútraax kich kun'áaphutih.xas papihnîich xas upíip,tá nimyáhumar, chími âapun.""",translate from karuk to english,"But they didn't mind him. That was because they were mad at him because he had wanted to dance. They they dragged him down, they were just carrying him (by) the arms"". And the old man kept saying, ""I am tired, let me down!"""
"But they didn't mind him. That was because they were mad at him because he had wanted to dance. They they dragged him down, they were just carrying him (by) the arms"". And the old man kept saying, ""I am tired, let me down!""",translate from english to karuk,"púxay fuhíshtihap.aayâach kun'ixviphûunishti íp pa'úthvoonhitihat va'íhuk, tá kun'ithyúruvarak, pamútraax kich kun'áaphutih.xas papihnîich xas upíip,tá nimyáhumar, chími âapun."""
"xas kunpákurih,yíiv vúra nuthyuruveesh, chími âapun, tá nimyáhumar, chími âapun, tá nichnahirúvuukva, chími âapun, tá nithurirúvuukva, chími âapun.""",translate from karuk to english,"Then they sang, ""We will drag you far away. Let me down, I am tired! Let me down, I am defecating all over myself, let me down, please! I am urinating all over myself, let me down!"""
"Then they sang, ""We will drag you far away. Let me down, I am tired! Let me down, I am defecating all over myself, let me down, please! I am urinating all over myself, let me down!""",translate from english to karuk,"xas kunpákurih,yíiv vúra nuthyuruveesh, chími âapun, tá nimyáhumar, chími âapun, tá nichnahirúvuukva, chími âapun, tá nithurirúvuukva, chími âapun."""
